targets,preds
[50700.0859375],[54313.605]
[50504.796875],[52677.938]
[47672.12109375],[51828.008]
[47243.3046875],[51887.88]
[49362.5078125],[51653.21]
[50098.3359375],[51132.875]
[46737.48046875],[50700.758]
[46612.6328125],[50100.36]
[48896.72265625],[50088.465]
[47665.42578125],[50289.715]
[46202.14453125],[49878.562]
[46848.77734375],[49097.77]
[46707.015625],[49170.96]
[46880.27734375],[49235.29]
[48936.61328125],[48662.17]
[48628.51171875],[48646.453]
[50784.5390625],[49157.45]
[50822.1953125],[49799.95]
[50429.859375],[50697.71]
[50809.515625],[51631.473]
[50640.41796875],[52082.848]
[47588.85546875],[52630.36]
[46444.7109375],[52281.914]
[47178.125],[51575.77]
[46306.4453125],[50811.387]
[47686.8125],[49757.195]
[47345.21875],[48797.33]
[46458.1171875],[48685.77]
[45897.57421875],[48821.39]
[43569.00390625],[48648.402]
[43160.9296875],[48388.883]
[41557.90234375],[47482.113]
[41733.94140625],[46329.824]
[41911.6015625],[45212.332]
[41821.26171875],[44163.215]
[42735.85546875],[43696.438]
[43949.1015625],[43428.016]
[42591.5703125],[43785.69]
[43099.69921875],[44097.625]
[43177.3984375],[44399.863]
[43113.87890625],[44746.84]
[42250.55078125],[44856.57]
[42375.6328125],[44546.492]
[41744.328125],[44545.277]
[40680.41796875],[44307.863]
[36457.31640625],[43868.47]
[35030.25],[42894.26]
[36276.8046875],[41614.69]
[36654.328125],[40067.125]
[36954.00390625],[38617.918]
[36852.12109375],[37494.168]
[37138.234375],[37557.906]
[37784.33203125],[38069.21]
[38138.1796875],[38342.25]
[37917.6015625],[38616.32]
[38483.125],[38856.453]
[38743.2734375],[39202.387]
[36952.984375],[39546.555]
[37154.6015625],[39568.504]
[41500.875],[39419.242]
[41441.1640625],[39709.08]
[42412.43359375],[40133.574]
[43840.28515625],[40798.234]
[44118.4453125],[42293.523]
[44338.796875],[43957.57]
[43565.11328125],[44598.805]
[42407.9375],[45256.92]
[42244.46875],[45512.57]
[42197.515625],[45240.75]
[42586.91796875],[44793.633]
[44575.203125],[44275.465]
[43961.859375],[44181.742]
[40538.01171875],[44512.082]
[40030.9765625],[44599.156]
[40122.15625],[44417.418]
[38431.37890625],[43918.152]
[37075.28125],[42588.28]
[38286.02734375],[41106.543]
[37296.5703125],[40479.84]
[38332.609375],[39866.746]
[39214.21875],[39265.094]
[39105.1484375],[39267.043]
[37709.78515625],[39724.715]
[43193.234375],[39763.312]
[44354.63671875],[40559.355]
[43924.1171875],[41551.26]
[42451.7890625],[42590.3]
[39137.60546875],[43670.062]
[39400.5859375],[44752.84]
[38419.984375],[44042.91]
[38062.0390625],[42729.246]
[38737.26953125],[41321.664]
[41982.92578125],[40280.406]
[39437.4609375],[40466.594]
[38794.97265625],[40586.273]
[38904.01171875],[40894.27]
[37849.6640625],[41219.67]
[39666.75390625],[41201.574]
[39338.78515625],[40365.418]
[41143.9296875],[40271.09]
[40951.37890625],[40576.797]
