targets,preds
13692.61,13710.325793266296
13650.654,13693.203991096258
13642.372,13662.31469692564
13641.1,13650.071381601694
13661.672,13648.559930102589
13641.11,13652.4027074641
13649.02,13640.445229025245
13659.7,13645.75144615078
13646.032,13653.185515880585
13601.146,13652.963885354042
13551.254,13597.848797439934
13525.436000000003,13578.811067481041
13548.706,13544.862946808338
13574.98,13552.364668952941
13590.646,13559.474026065946
13577.188,13578.580704581262
13544.072,13574.67256453276
13549.066,13557.846029818296
13545.092,13553.69983206272
13563.508000000002,13543.946526663423
13575.486,13551.488220053434
13591.496,13550.63849360943
13600.151999999998,13564.188879142523
13591.858000000002,13604.517833329679
13578.0,13604.957132869245
13572.53,13588.104072550535
13579.026000000002,13572.148802737236
13585.334,13574.121788499353
13585.078,13580.41723302913
13581.69,13578.645830869675
13568.229681258,13576.348413114549
13544.176,13565.485998729588
13519.374,13530.564196649313
13524.842,13540.844674524187
13529.194,13528.944145524501
13536.01,13532.295402923184
13537.184000000005,13525.617884166717
13545.48,13530.471718401432
13556.3,13544.107215046168
13585.55,13558.522869925737
13594.032,13578.830584460497
13586.1,13596.691329463963
13579.035999999998,13588.9877444458
13589.147999999996,13578.31365454197
13599.473999999998,13586.601070922612
13614.954000000002,13594.356106979369
13618.818000000005,13615.634830999375
13649.376,13625.137921234129
13652.154,13645.434875773426
13652.938951576,13660.91199617028
13653.04,13654.336798529865
13651.070000000003,13654.546136029963
13642.94,13656.816876537323
13621.564000000002,13638.860877485276
13611.866000000002,13622.1683560471
13633.276000000002,13617.300207967759
13642.328,13627.359738428597
13636.718,13650.640839149952
13631.038,13637.17050486994
13629.182,13635.519527579549
13620.73,13633.591291350367
13596.264,13621.572445431231
13600.984,13600.66898686111
13597.798,13596.922251259566
13596.092,13592.625685173989
13581.428,13586.653851711153
13573.514,13582.075508291244
13563.9,13576.587341311455
13561.859999999995,13567.976760313273
13566.87,13560.306788047314
13589.916,13562.150181416035
13585.762,13579.28734141159
13571.872,13588.925424993038
13536.926,13576.614001421924
13513.782,13541.877910476924
13455.432,13517.81269139242
13394.0,13433.659622958065
13387.420000000002,13384.889653841017
13397.538,13380.613915794373
13396.680000000002,13393.64967358625
13378.624,13388.701872419359
13348.891999999998,13371.904216170311
13379.232,13355.159581872227
13399.736,13411.035184948683
13413.672,13385.676610021594
13457.238,13405.966215759277
13466.828,13437.255960250375
13456.158,13471.613462562562
13482.23,13462.632562218667
13485.818,13474.0579316597
13483.465594288,13483.962830608605
13473.109999999995,13489.572896305084
13463.246,13484.479972566603
13455.126,13457.28132480979
13468.802948006,13461.37873603201
13455.722,13461.848285578668
13463.084,13455.662719839807
13478.342,13469.78133193016
13498.167218066,13477.615347654104
13520.723999999998,13497.585048879702
13516.603999999998,13507.935335850478
13501.112,13487.352066068173
13498.038,13505.317617866278
13490.642000000002,13521.51857775149
13489.398,13495.24150678539
13487.503999999995,13493.15468182802
13484.952,13496.114633004188
13489.414,13487.83475066972
13496.994,13490.015602264048
13498.488,13484.179036232828
13496.556,13482.465042697902
13500.95,13495.896074775696
13504.956,13498.546192385913
13506.53,13504.316409116507
13508.909999999998,13510.318435249328
13519.3,13512.249355467797
13518.688,13520.752533245088
13523.848000000002,13521.150147158147
13533.46,13532.331914125682
13554.6,13537.674742662904
13545.74,13558.04510422945
13540.542,13552.298553375244
13506.753999999995,13542.728103102685
13510.295999999998,13522.270053043365
13506.859999999995,13510.9910577178
13528.492000000002,13500.939598007202
13530.41,13516.760604411364
13536.574,13514.701604387279
13538.65,13541.379668804168
13548.354,13540.964442794319
13593.948,13554.579389778139
13598.541999999998,13590.83274105668
13623.157365824003,13604.734456321956
13618.96,13624.884046000241
13614.778,13623.904663877964
13616.12,13625.540132599353
13634.141999999998,13632.107927821633
13639.81,13638.671503844962
13640.868,13632.4432218647
13688.582,13648.953679724931
13720.302,13679.993283638954
13764.272,13718.214740463492
13843.170000000002,13774.126700084209
